timestamp,dev_timestamp,host_timestamp
1766112495.783831,57437211458985,1766112495782
1766112495.8323054,57437216385691,1766112495832
1766112495.88235,57437221403553,1766112495882
1766112495.9325683,57437226425229,1766112495932
1766112495.9817684,57437231339540,1766112495981
1766112496.0320656,57437236361215,1766112496031
1766112496.0821595,57437241379077,1766112496082
1766112496.1323225,57437246396939,1766112496132
1766112496.1825497,57437251414801,1766112496182
1766112496.2326772,57437256436477,1766112496232
1766112496.2818298,57437261350787,1766112496281
1766112496.3319874,57437266368648,1766112496331
1766112496.3821914,57437271390324,1766112496382
1766112496.432398,57437276408187,1766112496432
1766112496.482586,57437281426048,1766112496482
1766112496.5327787,57437286447723,1766112496532
1766112496.581947,57437291362033,1766112496581
1766112496.6321259,57437296379895,1766112496631
1766112496.6823277,57437301401571,1766112496682
1766112496.7325249,57437306419432,1766112496732
1766112496.7826984,57437311437295,1766112496782
1766112496.8329344,57437316459001,1766112496832
1766112496.8830822,57437321476864,1766112496882
1766112496.9332867,57437326494725,1766112496933
1766112496.9834578,57437331512588,1766112496983
1766112497.0336556,57437336534264,1766112497033
1766112497.08383,57437341552127,1766112497083
1766112497.132974,57437346466436,1766112497132
1766112497.1832423,57437351488112,1766112497183
1766112497.2333646,57437356505975,1766112497233
1766112497.2835422,57437361523837,1766112497283
1766112497.333824,57437366545513,1766112497333
1766112497.3839762,57437371563376,1766112497383
1766112497.4330933,57437376477687,1766112497432
1766112497.483363,57437381499364,1766112497483
1766112497.5335338,57437386517227,1766112497533
1766112497.5836833,57437391535089,1766112497583
1766112497.6339502,57437396556765,1766112497633
1766112497.6842353,57437401574628,1766112497684
1766112497.7332263,57437406488939,1766112497733
1766112497.783483,57437411510617,1766112497783
1766112497.8335977,57437416528480,1766112497833
1766112497.8837898,57437421546344,1766112497883
1766112497.9339867,57437426564208,1766112497933
1766112497.9841893,57437431585887,1766112497984
1766112498.0333428,57437436500197,1766112498033
1766112498.0835345,57437441521876,1766112498083
1766112498.1337006,57437446539740,1766112498133
1766112498.183889,57437451557604,1766112498183
1766112498.2340574,57437456575468,1766112498233
1766112498.2832506,57437461493595,1766112498283
1766112498.3334353,57437466511459,1766112498333
1766112498.3836586,57437471533137,1766112498383
1766112498.4338424,57437476551001,1766112498433
1766112498.48402,57437481568865,1766112498483
1766112498.5341837,57437486586729,1766112498534
1766112498.5834224,57437491504855,1766112498583
1766112498.6335945,57437496522719,1766112498633
1766112498.6837475,57437501540584,1766112498683
1766112498.7340102,57437506562261,1766112498733
1766112498.7841148,57437511580125,1766112498783
1766112498.834306,57437516597989,1766112498834
1766112498.8834753,57437521516115,1766112498883
1766112498.9338999,57437526533979,1766112498933
1766112498.9838502,57437531551843,1766112498983
1766112499.0340574,57437536573520,1766112499033
1766112499.0842824,57437541591383,1766112499084
1766112499.1344483,57437546609247,1766112499134
1766112499.1836455,57437551527372,1766112499183
1766112499.2338288,57437556545235,1766112499233
1766112499.2839596,57437561563099,1766112499283
1766112499.3342474,57437566584775,1766112499334
